servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
"AMERIHOME MORTGAGE COMPANY, LLC","AMERIHOME MORTGAGE CORPORATION, LLC",35762,7902256907.66,201907,0.9883920181305622,0.3501924261171645,0.8710329541856443,0.33587918677349127
"CORNERSTONE HOME LENDING, INC","CORNERSTONE HOME LENDING, INC.",4717,1329776530.39,201907,0.9895112229913992,0.47964220431376653,0.8537556561085973,0.4478443692042106
"OCWEN LOAN SERVICING, LLC",PHH MORTGAGE CORPORATION,843,135814067.0,201907,0.9964539007092199,0.01748778984536609,0.45056119722073756,0.01075793610589668
"UNITED SHORE FINANCIAL SERVICES, LLC",NEW RESIDENTIAL MORTGAGE LLC,770,206716090.02,201907,0.014565677966101694,0.010304802119622132,0.041231593038821956,0.0025934170321735444
"MEMBER FIRST MORTGAGE, LLC","MEMBER FIRST MORTGAGE, LLC DBA MICHIGAN FIRST MORTGAGE",281,38431497.82,201907,1.0,0.05436639335309403,0.9183006535947712,0.05440860093042551
FIDELITY BANK,AMERIS BANK,222,56908375.35,201907,0.12430011198208286,0.02410421634666621,0.6894409937888198,0.20127902462222963
COMMERCE BANK,"COMMERCE BANK, N.A.",196,33324245.47,201907,0.9949238578680203,0.1562847591211953,0.937799043062201,0.1553269599066782
FIRST STATE BANK - MONTICELLO,FIRST STATE BANK,85,12345816.03,201907,1.0,0.10381589067218755,0.22077922077922077,0.013259384477210092
UNION BANK & TRUST COMPANY,STATE BANK OF CROSS PLAINS,81,14437802.86,201907,0.9878048780487805,0.0902064242341425,0.826530612244898,0.054769759162647445
NATIONSTAR MORTGAGE LLC,"PINGORA LOAN SERVICING, LLC",69,13929620.88,201907,0.00495013989525791,0.0002927737551835718,0.001526818906001062,0.00032237726116975005
WEI MORTGAGE CORPORATION,ARC HOME LLC,55,14434292.99,201907,0.08972267536704731,0.009785787795384696,0.8461538461538461,0.12138979665588705
NATIONSTAR MORTGAGE LLC,NEW RESIDENTIAL MORTGAGE LLC,42,6088472.43,201907,0.0030131286318961187,0.0001276849555735723,0.002248995983935743,0.00007638470763622393
MUTUAL BANK,NORTH EASTON SAVINGS BANK,38,10016113.66,201907,0.9743589743589743,0.10984146649614906,1.0,0.11027807535387357
PEOPLE'S INTERMOUNTAIN BANK,"BANK OF AMERICAN FORK, A DIVISION OF PEOPLE'S INTERMOUNTAIN",36,3927318.72,201907,1.0,0.05210787782253002,0.8,0.05145398984679149
THE GREENWOOD'S STATE BANK INC,THE GREENWOOD'S STATE BANK,30,6163219.67,201907,0.967741935483871,0.07901411711991208,0.7894736842105263,0.07957445645438317
FIRST NATIONAL BANK,"FIRST & FARMERS NATIONAL BANK, INC.",21,3147212.83,201907,0.15328467153284672,0.010762057248883173,0.84,0.35339200777049623
PULTE MORTGAGE LLC,ARVEST CENTRAL MORTGAGE COMPANY,13,2650000.0,201907,0.005620406398616515,0.004008241155098278,0.0010589768654284783,0.00015293434275209762
