servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
CENTRAL MORTGAGE COMPANY,ARVEST CENTRAL MORTGAGE COMPANY,62645,13395635249.63,201907,0.9882161786976275,0.9870394380165685,0.8891869641741895,0.8808857846147244
"PINGORA LOAN SERVICING, LLC",NEW RESIDENTIAL MORTGAGE LLC,55792,11218254598.35,201907,0.1659527888825433,0.14666843526447465,0.07796752284859834,0.08745770026915207
"UNITED SHORE FINANCIAL SERVICES, LLC",NEW RESIDENTIAL MORTGAGE LLC,29094,7301470437.28,201907,0.40929617489413783,0.402249904932276,0.04065792783476341,0.05692238551277227
COMPASS BANK,BBVA USA,21000,3504390776.24,201907,0.9909867396536265,0.9898176867676022,0.9873060648801129,0.9845155556709525
"AMERIHOME MORTGAGE COMPANY, LLC","MUFG UNION BANK, NATIONAL ASSOCIATION",16552,4503848791.46,201907,0.20510024534707938,0.23840488746264415,0.3520952988725803,0.362085163303196
"CMC FUNDING, INC.","SPECIALIZED LOAN SERVICING, LLC",11538,2415748722.79,201907,0.5568532818532819,0.5703742941391615,0.15567068728244152,0.16385282777978444
"SERVIS ONE, INC. DBA BSI FINANCIAL SERVICES","SERVIS ONE, INC. DBA BSI FINANCIAL SERVICES, INC.",4870,1071568618.65,201907,0.9872288668153254,0.9868494426257539,0.9221738307138799,0.9263357259080021
"ZB, NATIONAL ASSOCIATION","ZIONS BANCORPORATION, NATIONAL ASSOCIATION",4855,843150128.3,201907,0.9902100754640016,0.9905837634477279,0.9120796543302648,0.9182350232219277
"OCWEN LOAN SERVICING, LLC",PHH MORTGAGE CORPORATION,4792,848233766.85,201907,0.9915166563211256,0.9918627947318056,0.2713630443399966,0.25017448807712356
"ALLIED MORTGAGE GROUP, INC.",ALLIED MORTGAGE GROUP,2187,360164381.14,201907,0.9922867513611615,0.9927270087217909,0.9860234445446348,0.9845277374739526
"AMERICAN FINANCIAL RESOURCES,INC.","AMERICAN FINANCIAL RESOURCES, INC.",1311,158829839.36,201907,0.9879427279577996,0.9830123048722639,0.880456682337139,0.8767799549576335
NATIONSTAR MORTGAGE LLC,NEW RESIDENTIAL MORTGAGE LLC,941,165978141.25,201907,0.003316942491055535,0.003261190210405981,0.0013150171888537969,0.0012939683621379509
PULTE MORTGAGE LLC,ARVEST CENTRAL MORTGAGE COMPANY,684,198616150.0,201907,0.5437201907790143,0.5646227142082699,0.009708737864077669,0.013060832119532243
DEAN BANK,DEAN CO-OPERATIVE BANK,527,106064326.93,201907,0.992467043314501,0.9904056934191819,0.8405103668261563,0.8343981155267904
